time	V(vout)
Step Information: X=1  (Run: 1/5)
4.250227999999998e-03	2.461711e-01
4.250254815392693e-03	2.276347e-01
4.250283883411754e-03	2.057726e-01
4.250321252604210e-03	1.770958e-01
4.250374965794466e-03	1.381423e-01
4.250482392174983e-03	6.973449e-02
4.250637495452982e-03	-1.187216e-02
4.250794913044476e-03	-7.652150e-02
4.250972984046551e-03	-1.307987e-01
4.251199716777086e-03	-1.799504e-01
4.251469933348594e-03	-2.189931e-01
4.251796470693559e-03	-2.478855e-01
4.252179414309370e-03	-2.667699e-01
4.252649195672864e-03	-2.782194e-01
4.253227508127795e-03	-2.841981e-01
4.253984784018523e-03	-2.868356e-01
4.255014902914602e-03	-2.876745e-01
4.256575736767829e-03	-2.877726e-01
4.275377644451260e-03	-2.867033e-01
4.500000000000001e-03	-2.741077e-01
4.500010000000002e-03	-2.739759e-01
4.500030000000002e-03	-2.730445e-01
4.500060000000000e-03	-2.686067e-01
4.500100000000000e-03	-2.580176e-01
4.500104000000001e-03	-2.560799e-01
4.500112000000001e-03	-2.518672e-01
4.500127999999999e-03	-2.421797e-01
4.500154769758589e-03	-2.236767e-01
4.500183811688856e-03	-2.018355e-01
4.500221106372833e-03	-1.732141e-01
4.500274731514438e-03	-1.343136e-01
4.500381981797648e-03	-6.598833e-02
4.500537190200715e-03	1.571698e-02
4.500694592343348e-03	8.032162e-02
4.500876392190413e-03	1.355923e-01
4.501104363818832e-03	1.847324e-01
4.501378399122031e-03	2.239188e-01
4.501706459707794e-03	2.525267e-01
4.502094567540482e-03	2.712741e-01
4.502567905839826e-03	2.825034e-01
4.503155320114201e-03	2.883506e-01
4.503922043787138e-03	2.908874e-01
4.504974529177558e-03	2.916774e-01
4.506570869990442e-03	2.917562e-01
4.750100000000000e-03	2.778939e-01
4.750109999999998e-03	2.777621e-01
4.750129999999998e-03	2.768307e-01
4.750160000000000e-03	2.723929e-01
4.750200000000000e-03	2.618038e-01
4.750204000000001e-03	2.598661e-01
4.750212000000000e-03	2.556534e-01
4.750227999999999e-03	2.459654e-01
4.750254813041137e-03	2.274307e-01
4.750283879715753e-03	2.055697e-01
4.750321245071337e-03	1.768958e-01
4.750374953723210e-03	1.379450e-01
4.750482371026956e-03	6.954142e-02
4.750637479529609e-03	-1.207023e-02
4.750794896336365e-03	-7.671724e-02
4.750973161270180e-03	-1.310462e-01
4.751199958631620e-03	-1.801974e-01
4.751470373363514e-03	-2.192477e-01
4.751796989602753e-03	-2.481252e-01
4.752180200485821e-03	-2.670025e-01
4.752650165606550e-03	-2.784404e-01
4.753228947564882e-03	-2.844124e-01
4.753986709890887e-03	-2.870445e-01
4.755017976389147e-03	-2.878808e-01
4.756580626190086e-03	-2.879780e-01
4.775419007224405e-03	-2.869057e-01
4.999900000000002e-03	-2.743089e-01
5.000000000000001e-03	-2.743034e-01
Step Information: X=2  (Run: 2/5)
0.000000000000000e+00	-2.020789e-01
9.999999998205888e-09	-2.020751e-01
2.999999999808711e-08	-2.020500e-01
5.999999999964367e-08	-2.019311e-01
9.999999999940612e-08	-2.016386e-01
1.040000000007701e-07	-2.015944e-01
1.120000000000287e-07	-2.014798e-01
1.279999999985459e-07	-2.012133e-01
1.547431247063413e-07	-2.006947e-01
1.837701706884631e-07	-2.000631e-01
2.210153739294618e-07	-1.991955e-01
2.745808033340069e-07	-1.979137e-01
1.024496815014986e-06	-1.802867e-01
1.881543685508524e-06	-1.612581e-01
3.595637426495601e-06	-1.264527e-01
7.023824908466286e-06	-6.627655e-02
1.156643623154846e-05	-1.011880e-03
1.618634801790753e-05	5.092596e-02
2.062849797390340e-05	8.849543e-02
2.691544382435809e-05	1.271449e-01
3.401417992442146e-05	1.571828e-01
4.316595692724357e-05	1.815719e-01
5.328914134549931e-05	1.971397e-01
6.617815570428634e-05	2.071780e-01
8.118719852311801e-05	2.122126e-01
1.011871985231172e-04	2.142681e-01
1.211871985231164e-04	2.143807e-01
1.411871985231156e-04	2.137823e-01
1.611871985231147e-04	2.129973e-01
2.011871985231131e-04	2.113231e-01
2.500999999999996e-04	2.092668e-01
2.501100000000013e-04	2.092630e-01
2.501300000000012e-04	2.092378e-01
2.501599999999993e-04	2.091189e-01
2.501999999999990e-04	2.088346e-01
2.502040000000004e-04	2.087821e-01
2.502119999999997e-04	2.086675e-01
2.502279999999982e-04	2.084009e-01
2.502548533980589e-04	2.078800e-01
2.502839434833648e-04	2.072468e-01
2.503213686284207e-04	2.063747e-01
2.503751466634598e-04	2.050876e-01
2.511280391539993e-04	1.873920e-01
2.519884877146134e-04	1.682937e-01
2.537093848358415e-04	1.333724e-01
2.571511790782979e-04	7.301272e-02
2.616896716493081e-04	7.883119e-03
2.663109340311012e-04	-4.400169e-02
2.707505259559630e-04	-8.159871e-02
2.767999536458440e-04	-1.190000e-01
2.838093559951703e-04	-1.490423e-01
2.927036056962554e-04	-1.733251e-01
3.027074521067090e-04	-1.892580e-01
3.152293879117793e-04	-1.995380e-01
3.299580335165316e-04	-2.048675e-01
3.492641506737983e-04	-2.071406e-01
3.692641506737974e-04	-2.073935e-01
3.892641506737966e-04	-2.068635e-01
4.092641506737958e-04	-2.061169e-01
4.492641506737942e-04	-2.045011e-01
5.000000000000004e-04	-2.024377e-01
5.000099999999986e-04	-2.024339e-01
5.000299999999985e-04	-2.024087e-01
5.000600000000001e-04	-2.022898e-01
5.000999999999999e-04	-2.020056e-01
5.001040000000012e-04	-2.019532e-01
5.001120000000005e-04	-2.018386e-01
5.001279999999990e-04	-2.015720e-01
5.001547486390562e-04	-2.010534e-01
5.001837788381237e-04	-2.004217e-01
5.002210330362668e-04	-1.995538e-01
5.002746090934096e-04	-1.982718e-01
5.010246738933917e-04	-1.806414e-01
5.018818908076594e-04	-1.616093e-01
5.035963246361949e-04	-1.267981e-01
5.070251922932659e-04	-6.661272e-02
5.115675847725647e-04	-1.354977e-03
5.161875651187690e-04	5.058024e-02
5.206295856397362e-04	8.815099e-02
5.269049155239847e-04	1.267397e-01
5.339992804180745e-04	1.567779e-01
5.431384090154347e-04	1.811621e-01
5.532556951740666e-04	1.967477e-01
5.661265651580594e-04	2.067979e-01
5.811216748310734e-04	2.118467e-01
6.010899970088773e-04	2.139130e-01
6.210899970088765e-04	2.140322e-01
6.410899970088757e-04	2.134370e-01
6.610899970088749e-04	2.126539e-01
7.010899970088733e-04	2.109826e-01
7.501000000000001e-04	2.089255e-01
7.501100000000017e-04	2.089217e-01
7.501300000000016e-04	2.088965e-01
7.501599999999997e-04	2.087776e-01
